Layer Name," Layer Number"," Layer Outline"
Qiraat," 0"," The 10 canonical Quranic readings (القراءات العشر) - determines the broader reading tradition"
Narrations," 1"," Specific narrations/transmissions (الروايات) - each Qiraah has 2 primary narrations"
Edition Variants," 2"," Publisher-specific formatting differences"
Line Layout," 3"," Line-level composition and line breaks"
Page Layout," 4"," Page-level composition and pagination"
Division Structure," 5"," Traditional organizational segments (Juz"," Hizb"," Rub) for recitation scheduling"
Mushaf Structure," 6"," Complete manuscript text for each narration"
Qiraat Structure," 7"," Foundational metadata for Qiraat systems and narrations"
Surah Structure," 8"," Chapter metadata and organization (114 surahs)"
Verse Structure," 9"," Verse enumeration and boundaries - primary organizational unit"
Sentence Structure," 10",Sentences Slices which is a group of words based on Grammatical composition or or Scholarily Decision,Sentences Slices (Groups of Words).," ibtida (starting) rules"
Word Structure," 11"," Word boundaries and morphological composition"
Orthographic Systems," 12"," Writing system rules (Uthmani vs Qiasy/Imla'i scripts with orthographic transformations)"
Character Paired Data," 13"," Relational metadata between characters (tajweed rules"," idgham"," ikhfa relationships)"
Character Symbols and Rendering Data," 14"," Diacritical marks (tashkeel)"," tajweed symbols"," and visual rendering rules"
Character Composition," 15"," Base letter sequences with phonetic metadata - atomic units of Quranic text"
